subject,watch_rmssd_ms,ecg_rmssd_ms
S01,53.2,45.0
S01,55.2,44.3
S01,53.3,44.2
S02,58.3,51.9
S02,65.6,56.9
S02,66.6,58.9
S03,83.8,71.3
S03,82.9,73.2
S03,76.4,70.0
S04,50.7,45.0
S04,44.4,41.0
S04,44.5,37.7
S05,34.7,23.9
S05,17.9,16.1
S05,26.6,24.9
S06,89.8,76.9
S06,92.1,80.7
S06,88.8,80.0
S07,95.9,84.5
S07,91.9,79.8
S07,83.2,71.7
S08,27.4,23.4
S08,28.7,24.7
S08,28.5,22.5
S09,36.4,32.4
S09,39.6,32.8
S09,32.8,26.4
S10,38.6,38.2
S10,57.4,46.7
S10,38.9,35.9
S11,63.9,55.0
S11,67.9,58.0
S11,67.4,57.5
S12,28.4,26.1
S12,35.4,34.8
S12,46.8,38.0
S13,40.1,34.1
S13,34.2,30.1
S13,39.3,32.0
S14,77.4,66.0
S14,79.1,68.1
S14,83.4,75.9
S15,70.4,59.8
S15,73.6,61.1
S15,68.7,61.3
S16,81.0,71.9
S16,82.3,74.6
S16,85.5,72.5
