contactless_brpm,band_brpm
12.7,13.4
9.7,9.8
15.6,14.9
19.1,18.5
16.2,15.7
13.7,13.4
15.9,15.8
20.9,21.9
20.3,19.8
22.2,21.6
12.8,13.9
17.0,16.9
20.5,20.1
17.7,18.2
15.8,15.4
16.3,16.1
13.0,13.1
12.6,13.3
20.4,20.0
11.0,10.6
21.7,21.0
17.4,17.5
19.7,19.8
13.5,13.9
20.6,20.3
20.3,20.1
9.2,10.8
13.1,13.9
14.3,14.8
10.6,9.9
15.9,16.1
17.7,18.4
10.4,10.7
11.0,11.4
11.1,11.7
11.2,11.7
16.4,16.7
17.7,17.7
19.3,18.4
16.5,16.4
18.6,19.2
8.4,9.7
11.2,11.2
19.1,19.0
16.3,16.4
14.3,13.7
17.3,16.4
15.0,14.2
14.8,14.4
10.3,9.3
10.2,9.8
13.6,12.0
20.2,20.6
15.2,16.0
12.3,11.9
12.3,13.0
12.2,12.7
19.6,19.4
10.4,11.1
16.7,16.1
