epoch,psg_stage,device_stage
E0001,N2,N2
E0002,N2,N2
E0003,W,N1
E0004,N2,N2
E0005,N2,REM
E0006,W,W
E0007,N2,N2
E0008,N2,N2
E0009,N3,N3
E0010,N2,N2
E0011,N2,N2
E0012,N2,N2
E0013,N1,W
E0014,N2,N2
E0015,N2,N2
E0016,W,W
E0017,N1,REM
E0018,N3,N2
E0019,REM,REM
E0020,W,W
E0021,REM,REM
E0022,REM,REM
E0023,N2,N2
E0024,N2,N2
E0025,W,N1
E0026,N2,N2
E0027,N2,N2
E0028,W,W
E0029,N2,N2
E0030,N2,N2
E0031,N2,N2
E0032,W,W
E0033,W,W
E0034,REM,REM
E0035,REM,REM
E0036,N2,N1
E0037,N2,N2
E0038,N2,N2
E0039,W,W
E0040,REM,N2
E0041,REM,REM
E0042,W,W
E0043,N2,N3
E0044,N3,N3
E0045,REM,REM
E0046,N2,N2
E0047,REM,N2
E0048,N1,N2
E0049,N3,N2
E0050,N2,N2
E0051,W,W
E0052,N2,N2
E0053,REM,REM
E0054,REM,REM
E0055,N1,N1
E0056,N2,N2
E0057,N2,N2
E0058,N2,W
E0059,W,W
E0060,W,W
E0061,N3,N3
E0062,W,W
E0063,N3,N3
E0064,W,W
E0065,N2,N2
E0066,REM,REM
E0067,W,W
E0068,REM,REM
E0069,N2,N2
E0070,N2,N2
E0071,N2,N2
E0072,N1,N1
E0073,N2,N2
E0074,W,W
E0075,W,W
E0076,REM,REM
E0077,REM,REM
E0078,W,W
E0079,W,W
E0080,N1,N1
E0081,REM,REM
E0082,N3,N3
E0083,W,W
E0084,N2,N2
E0085,N2,N2
E0086,W,W
E0087,REM,REM
E0088,N2,N2
E0089,W,REM
E0090,N2,N2
E0091,N2,N2
E0092,N1,N2
E0093,N3,N3
E0094,N2,N2
E0095,W,N1
E0096,N2,N2
E0097,W,W
E0098,REM,REM
E0099,N2,N2
E0100,N2,N2
E0101,N2,N2
E0102,REM,REM
E0103,N3,N2
E0104,N2,N2
E0105,N2,N2
E0106,N1,N1
E0107,N2,N2
E0108,N2,N2
E0109,N2,N2
E0110,W,W
E0111,N2,N2
E0112,REM,REM
E0113,N2,N2
E0114,N2,N2
E0115,W,W
E0116,REM,N2
E0117,N2,N2
E0118,N2,N2
E0119,REM,W
E0120,N1,REM
E0121,W,W
E0122,W,W
E0123,N3,N3
E0124,N2,N2
E0125,N1,N2
E0126,N2,N2
E0127,N3,N3
E0128,N2,N2
E0129,N2,N2
E0130,REM,REM
E0131,N1,N2
E0132,W,W
E0133,N2,N1
E0134,N3,N3
E0135,W,W
E0136,REM,W
E0137,N3,N3
E0138,W,W
E0139,REM,REM
E0140,W,W
E0141,N2,N3
E0142,N2,N2
E0143,N2,N2
E0144,N2,N2
E0145,REM,REM
E0146,N1,N1
E0147,REM,REM
E0148,N2,W
E0149,N2,N2
E0150,N1,W
E0151,N2,N2
E0152,N2,N2
E0153,N2,N3
E0154,W,N2
E0155,W,W
E0156,N3,N3
E0157,W,W
E0158,W,W
E0159,W,W
E0160,N3,N3
E0161,REM,REM
E0162,REM,N1
E0163,REM,REM
E0164,N2,N2
E0165,W,W
E0166,N2,N2
E0167,N1,W
E0168,N2,N2
E0169,W,W
E0170,W,W
E0171,W,W
E0172,N3,N3
E0173,REM,REM
E0174,W,N1
E0175,W,W
E0176,N2,N2
E0177,N2,N2
E0178,REM,REM
E0179,N3,N3
E0180,N2,N2
E0181,N3,N3
E0182,REM,REM
E0183,W,W
E0184,W,W
E0185,N2,N2
E0186,N2,N2
E0187,N3,N3
E0188,N3,N2
E0189,W,W
E0190,N3,N3
E0191,N2,N2
E0192,W,N2
E0193,N2,N1
E0194,N2,N2
E0195,REM,REM
E0196,N3,N3
E0197,N1,N1
E0198,N3,N2
E0199,N2,N2
E0200,N2,N2
E0201,N2,N2
E0202,REM,REM
E0203,N2,N1
E0204,N2,REM
E0205,N2,N3
E0206,REM,REM
E0207,N1,W
E0208,N2,N1
E0209,N2,N2
E0210,W,N1
E0211,W,W
E0212,N1,N1
E0213,REM,REM
E0214,N3,N3
E0215,N2,N2
E0216,N2,N2
E0217,N2,N2
E0218,N2,REM
E0219,REM,REM
E0220,N3,N3
E0221,N2,W
E0222,N2,N2
E0223,N2,N2
E0224,N2,N1
E0225,N3,N3
E0226,REM,N2
E0227,REM,N2
E0228,N2,N2
E0229,REM,REM
E0230,N3,N2
E0231,N2,N2
E0232,N2,N3
E0233,N3,N2
E0234,N1,N2
E0235,REM,N1
E0236,N2,N2
E0237,N1,N1
E0238,N2,N2
E0239,N3,N2
E0240,N2,N2
E0241,N2,N1
E0242,N2,W
E0243,W,W
E0244,N3,N2
E0245,N2,N2
E0246,REM,REM
E0247,N3,N2
E0248,N2,N2
E0249,N2,N2
E0250,REM,REM
E0251,W,W
E0252,W,W
E0253,N2,N2
E0254,N2,N2
E0255,REM,REM
E0256,W,W
E0257,W,W
E0258,REM,REM
E0259,N2,N2
E0260,W,W
E0261,N3,N3
E0262,N2,N2
E0263,W,W
E0264,W,W
E0265,REM,REM
E0266,N2,N2
E0267,N2,REM
E0268,N2,N2
E0269,W,W
E0270,N3,N3
E0271,N2,N2
E0272,N3,N3
E0273,REM,N2
E0274,W,W
E0275,N1,N1
E0276,N2,N2
E0277,REM,REM
E0278,REM,REM
E0279,N2,N2
E0280,N1,REM
E0281,REM,REM
E0282,W,W
E0283,N2,N2
E0284,REM,REM
E0285,N1,W
E0286,N2,W
E0287,N2,N2
E0288,N2,N2
E0289,N2,N2
E0290,REM,REM
E0291,REM,REM
E0292,N2,N3
E0293,W,W
E0294,N2,N2
E0295,W,N1
E0296,N2,N1
E0297,N2,N2
E0298,W,N2
E0299,N2,N2
E0300,N2,N2
E0301,N3,N3
E0302,N2,N3
E0303,N2,N1
E0304,N2,N2
E0305,N3,N2
E0306,N2,N2
E0307,N2,N1
E0308,W,W
E0309,N2,N2
E0310,N2,N2
E0311,N3,N2
E0312,N2,N3
E0313,N3,N3
E0314,N3,N3
E0315,W,N1
E0316,REM,REM
E0317,REM,REM
E0318,N2,N2
E0319,N3,N3
E0320,REM,REM
E0321,N3,N2
E0322,N2,N2
E0323,W,N1
E0324,N1,W
E0325,N2,N2
E0326,W,W
E0327,W,W
E0328,N3,N3
E0329,N2,N2
E0330,N2,N2
E0331,N1,W
E0332,REM,REM
E0333,N2,N2
E0334,N1,N2
E0335,N2,N3
E0336,N2,N2
E0337,N3,N3
E0338,N2,N2
E0339,N2,N1
E0340,W,N1
E0341,REM,REM
E0342,N2,N2
E0343,N3,N3
E0344,N2,N2
E0345,N2,N2
E0346,W,W
E0347,N2,N2
E0348,N2,N2
E0349,N2,N2
E0350,W,W
E0351,W,W
E0352,N2,N2
E0353,W,W
E0354,N2,N2
E0355,N1,N1
E0356,W,W
E0357,W,W
E0358,N2,N2
E0359,N2,N2
E0360,W,W
E0361,REM,REM
E0362,N2,N2
E0363,N2,N2
E0364,N2,N2
E0365,N1,N2
E0366,N2,N2
E0367,W,W
E0368,N2,N2
E0369,N2,N2
E0370,N2,N2
E0371,N2,N2
E0372,N2,N2
E0373,N2,N2
E0374,N2,N2
E0375,N2,N2
E0376,REM,REM
E0377,N3,N3
E0378,REM,REM
E0379,N2,N2
E0380,N2,N2
E0381,N2,N2
E0382,N2,N2
E0383,N2,N2
E0384,N3,N3
E0385,N3,N3
E0386,REM,REM
E0387,N2,N2
E0388,N2,N2
E0389,REM,REM
E0390,N2,N2
E0391,REM,REM
E0392,N2,REM
E0393,W,W
E0394,N2,N2
E0395,N2,N2
E0396,REM,N1
E0397,N2,N2
E0398,REM,REM
E0399,N1,W
E0400,W,W
E0401,N2,N2
E0402,N2,N2
E0403,W,W
E0404,N2,N2
E0405,N1,W
E0406,N2,N2
E0407,REM,REM
E0408,N2,N2
E0409,N2,N2
E0410,REM,REM
E0411,N2,N2
E0412,REM,REM
E0413,N2,N2
E0414,REM,N2
E0415,N3,N2
E0416,W,W
E0417,N3,N2
E0418,N2,N2
E0419,N2,N1
E0420,REM,REM
E0421,N3,N3
E0422,N2,N2
E0423,N2,N2
E0424,REM,REM
E0425,N3,N3
E0426,N2,N2
E0427,N2,N1
E0428,N2,N2
E0429,W,W
E0430,W,W
E0431,N2,N2
E0432,REM,REM
E0433,W,W
E0434,N3,N2
E0435,W,W
E0436,REM,REM
E0437,N1,W
E0438,N2,N2
E0439,W,W
E0440,W,W
E0441,REM,REM
E0442,N3,N2
E0443,N2,N1
E0444,N2,N2
E0445,N2,W
E0446,N3,N3
E0447,N2,N2
E0448,N1,N2
E0449,REM,REM
E0450,N3,N3
E0451,N1,N1
E0452,W,W
E0453,N2,N3
E0454,REM,REM
E0455,N2,N2
E0456,N1,N2
E0457,W,W
E0458,REM,N1
E0459,W,W
E0460,N3,N3
E0461,N2,N2
E0462,N2,N2
E0463,N2,N2
E0464,N1,REM
E0465,W,W
E0466,W,W
E0467,REM,REM
E0468,N3,N2
E0469,N2,N1
E0470,N2,REM
E0471,N3,N3
E0472,N3,N3
E0473,N3,N3
E0474,N2,N2
E0475,N2,N2
E0476,N3,N2
E0477,N2,N2
E0478,W,W
E0479,REM,N2
E0480,REM,REM
