startDate,endDate,value
2026-08-03 23:28:00 +0900,2026-08-04 07:28:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-03 23:36:00 +0900,2026-08-04 00:21:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-04 00:21:00 +0900,2026-08-04 01:06:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-04 01:06:00 +0900,2026-08-04 01:36:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-04 01:36:00 +0900,2026-08-04 02:36:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-04 02:36:00 +0900,2026-08-04 03:21:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-04 03:21:00 +0900,2026-08-04 03:51:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-04 03:51:00 +0900,2026-08-04 04:21:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-04 04:21:00 +0900,2026-08-04 04:51:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-04 04:51:00 +0900,2026-08-04 05:36:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-04 05:36:00 +0900,2026-08-04 06:06:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-04 06:06:00 +0900,2026-08-04 07:06:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-04 07:06:00 +0900,2026-08-04 07:24:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-04 23:30:00 +0900,2026-08-05 07:43:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-04 23:38:00 +0900,2026-08-05 00:08:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-05 00:08:00 +0900,2026-08-05 01:08:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-05 01:08:00 +0900,2026-08-05 02:08:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-05 02:08:00 +0900,2026-08-05 03:08:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-05 03:08:00 +0900,2026-08-05 03:53:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-05 03:53:00 +0900,2026-08-05 04:23:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-05 04:23:00 +0900,2026-08-05 05:23:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-05 05:23:00 +0900,2026-08-05 06:08:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-05 06:08:00 +0900,2026-08-05 06:38:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-05 06:38:00 +0900,2026-08-05 07:08:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-05 07:08:00 +0900,2026-08-05 07:39:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-05 23:19:00 +0900,2026-08-06 07:37:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-05 23:27:00 +0900,2026-08-06 00:27:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-06 00:27:00 +0900,2026-08-06 00:57:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-06 00:57:00 +0900,2026-08-06 01:57:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-06 01:57:00 +0900,2026-08-06 02:27:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-06 02:27:00 +0900,2026-08-06 02:57:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-06 02:57:00 +0900,2026-08-06 03:57:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-06 03:57:00 +0900,2026-08-06 04:57:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-06 04:57:00 +0900,2026-08-06 05:57:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-06 05:57:00 +0900,2026-08-06 06:42:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-06 06:42:00 +0900,2026-08-06 07:33:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-06 23:12:00 +0900,2026-08-07 07:40:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-06 23:20:00 +0900,2026-08-07 00:05:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-07 00:05:00 +0900,2026-08-07 01:05:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-07 01:05:00 +0900,2026-08-07 01:50:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-07 01:50:00 +0900,2026-08-07 02:20:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-07 02:20:00 +0900,2026-08-07 03:20:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-07 03:20:00 +0900,2026-08-07 03:50:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-07 03:50:00 +0900,2026-08-07 04:35:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-07 04:35:00 +0900,2026-08-07 05:20:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-07 05:20:00 +0900,2026-08-07 06:20:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-07 06:20:00 +0900,2026-08-07 07:05:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
