start_time,end_time,step_count
2026-08-10 00:00:00.000,2026-08-10 00:10:00.000,8
2026-08-10 00:10:00.000,2026-08-10 00:20:00.000,10
2026-08-10 00:20:00.000,2026-08-10 00:30:00.000,4
2026-08-10 00:30:00.000,2026-08-10 00:40:00.000,3
2026-08-10 00:40:00.000,2026-08-10 00:50:00.000,5
2026-08-10 00:50:00.000,2026-08-10 01:00:00.000,2
2026-08-10 01:00:00.000,2026-08-10 01:10:00.000,2
2026-08-10 01:10:00.000,2026-08-10 01:20:00.000,10
2026-08-10 01:20:00.000,2026-08-10 01:30:00.000,1
2026-08-10 01:30:00.000,2026-08-10 01:40:00.000,8
2026-08-10 01:40:00.000,2026-08-10 01:50:00.000,4
2026-08-10 01:50:00.000,2026-08-10 02:00:00.000,6
2026-08-10 02:00:00.000,2026-08-10 02:10:00.000,4
2026-08-10 02:10:00.000,2026-08-10 02:20:00.000,10
2026-08-10 02:20:00.000,2026-08-10 02:30:00.000,10
2026-08-10 02:30:00.000,2026-08-10 02:40:00.000,8
2026-08-10 02:40:00.000,2026-08-10 02:50:00.000,3
2026-08-10 02:50:00.000,2026-08-10 03:00:00.000,12
2026-08-10 03:00:00.000,2026-08-10 03:10:00.000,3
2026-08-10 03:10:00.000,2026-08-10 03:20:00.000,12
2026-08-10 03:20:00.000,2026-08-10 03:30:00.000,8
2026-08-10 03:30:00.000,2026-08-10 03:40:00.000,2
2026-08-10 03:40:00.000,2026-08-10 03:50:00.000,1
2026-08-10 03:50:00.000,2026-08-10 04:00:00.000,2
2026-08-10 04:00:00.000,2026-08-10 04:10:00.000,12
2026-08-10 04:10:00.000,2026-08-10 04:20:00.000,5
2026-08-10 04:20:00.000,2026-08-10 04:30:00.000,0
2026-08-10 04:30:00.000,2026-08-10 04:40:00.000,2
2026-08-10 04:40:00.000,2026-08-10 04:50:00.000,9
2026-08-10 04:50:00.000,2026-08-10 05:00:00.000,6
2026-08-10 05:00:00.000,2026-08-10 05:10:00.000,8
2026-08-10 05:10:00.000,2026-08-10 05:20:00.000,4
2026-08-10 05:20:00.000,2026-08-10 05:30:00.000,8
2026-08-10 05:30:00.000,2026-08-10 05:40:00.000,0
2026-08-10 05:40:00.000,2026-08-10 05:50:00.000,8
2026-08-10 05:50:00.000,2026-08-10 06:00:00.000,7
2026-08-10 06:00:00.000,2026-08-10 06:10:00.000,0
2026-08-10 06:10:00.000,2026-08-10 06:20:00.000,8
2026-08-10 06:20:00.000,2026-08-10 06:30:00.000,12
2026-08-10 06:30:00.000,2026-08-10 06:40:00.000,3
2026-08-10 06:40:00.000,2026-08-10 06:50:00.000,4
2026-08-10 06:50:00.000,2026-08-10 07:00:00.000,3
2026-08-10 07:00:00.000,2026-08-10 07:10:00.000,80
2026-08-10 07:10:00.000,2026-08-10 07:20:00.000,20
2026-08-10 07:20:00.000,2026-08-10 07:30:00.000,14
2026-08-10 07:30:00.000,2026-08-10 07:40:00.000,66
2026-08-10 07:40:00.000,2026-08-10 07:50:00.000,14
2026-08-10 07:50:00.000,2026-08-10 08:00:00.000,56
2026-08-10 08:00:00.000,2026-08-10 08:10:00.000,421
2026-08-10 08:10:00.000,2026-08-10 08:20:00.000,261
2026-08-10 08:20:00.000,2026-08-10 08:30:00.000,307
2026-08-10 08:30:00.000,2026-08-10 08:40:00.000,312
2026-08-10 08:40:00.000,2026-08-10 08:50:00.000,266
2026-08-10 08:50:00.000,2026-08-10 09:00:00.000,449
2026-08-10 09:00:00.000,2026-08-10 09:10:00.000,74
2026-08-10 09:10:00.000,2026-08-10 09:20:00.000,27
2026-08-10 09:20:00.000,2026-08-10 09:30:00.000,16
2026-08-10 09:30:00.000,2026-08-10 09:40:00.000,84
2026-08-10 09:40:00.000,2026-08-10 09:50:00.000,33
2026-08-10 09:50:00.000,2026-08-10 10:00:00.000,70
2026-08-10 10:00:00.000,2026-08-10 10:10:00.000,48
2026-08-10 10:10:00.000,2026-08-10 10:20:00.000,59
2026-08-10 10:20:00.000,2026-08-10 10:30:00.000,16
2026-08-10 10:30:00.000,2026-08-10 10:40:00.000,48
2026-08-10 10:40:00.000,2026-08-10 10:50:00.000,12
2026-08-10 10:50:00.000,2026-08-10 11:00:00.000,63
2026-08-10 11:00:00.000,2026-08-10 11:10:00.000,59
