startDate,endDate,value
2026-08-11 01:02:00 +0900,2026-08-11 08:44:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-11 01:10:00 +0900,2026-08-11 01:55:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-11 01:55:00 +0900,2026-08-11 02:40:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-11 02:40:00 +0900,2026-08-11 03:10:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-11 03:10:00 +0900,2026-08-11 04:10:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-11 04:10:00 +0900,2026-08-11 04:55:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-11 04:55:00 +0900,2026-08-11 05:25:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-11 05:25:00 +0900,2026-08-11 05:55:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-11 05:55:00 +0900,2026-08-11 06:25:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-11 06:25:00 +0900,2026-08-11 07:10:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-11 07:10:00 +0900,2026-08-11 07:40:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-11 07:40:00 +0900,2026-08-11 08:40:00 +0900,HKCategoryValueSleepAnalysisAsleepDeep
2026-08-12 02:52:00 +0900,2026-08-12 06:34:00 +0900,HKCategoryValueSleepAnalysisInBed
2026-08-12 03:00:00 +0900,2026-08-12 03:30:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-12 03:30:00 +0900,2026-08-12 04:00:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-12 04:00:00 +0900,2026-08-12 05:00:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
2026-08-12 05:00:00 +0900,2026-08-12 06:00:00 +0900,HKCategoryValueSleepAnalysisAsleepCore
2026-08-12 06:00:00 +0900,2026-08-12 06:30:00 +0900,HKCategoryValueSleepAnalysisAsleepREM
