time_s,eeg_uv
0.000000,3.607880
0.007812,17.891349
0.015625,22.345048
0.023438,21.653414
0.031250,17.508368
0.039062,10.505236
0.046875,0.542270
0.054688,-8.847705
0.062500,-20.277233
0.070312,-29.799421
0.078125,-29.047973
0.085938,-19.055721
0.093750,-8.668987
0.101562,4.114647
0.109375,14.929250
0.117188,17.752464
0.125000,14.228530
0.132812,9.311783
0.140625,2.700188
0.148438,-5.031774
0.156250,-17.012687
0.164062,-22.998764
0.171875,-28.546097
0.179688,-31.179147
0.187500,-22.169249
0.195312,-10.025348
0.203125,0.880223
0.210938,5.322894
0.218750,5.940550
0.226562,4.607112
0.234375,-0.991291
0.242188,-3.799556
0.250000,-9.733408
0.257812,-20.668653
0.265625,-31.515538
0.273438,-37.012283
0.281250,-33.255071
0.289062,-24.097021
0.296875,-12.163911
0.304688,1.842994
0.312500,8.104685
0.320312,7.041562
0.328125,3.081930
0.335938,-0.910602
0.343750,-5.232375
0.351562,-11.736984
0.359375,-20.503936
0.367188,-27.735673
0.375000,-31.306357
0.382812,-24.211357
0.390625,-14.436641
0.398438,-2.361792
0.406250,12.717199
0.414062,17.943822
0.421875,17.598135
0.429688,13.185633
0.437500,8.848719
0.445312,2.021273
0.453125,-4.564044
0.460938,-11.555309
0.468750,-17.666772
0.476562,-20.371887
0.484375,-16.805945
0.492188,-4.583180
0.500000,10.069566
0.507812,19.450001
0.515625,23.001313
0.523438,18.276563
0.531250,15.745758
0.539062,10.934553
0.546875,8.470328
0.554688,1.131029
0.562500,-7.528507
0.570312,-14.963883
0.578125,-13.805969
0.585938,-4.526930
0.593750,6.034258
0.601562,16.994059
0.609375,27.229196
0.617188,30.422317
0.625000,29.332623
0.632812,24.497101
0.640625,22.039244
0.648438,13.961301
0.656250,2.563870
0.664062,-4.630092
0.671875,-10.829500
0.679688,-10.222478
0.687500,-3.279049
0.695312,9.253831
0.703125,14.999624
0.710938,20.941355
0.718750,22.490835
0.726562,22.300503
0.734375,18.410506
0.742188,10.451392
0.750000,6.893086
0.757812,0.953351
0.765625,-7.493024
0.773438,-11.010880
0.781250,-5.656776
0.789062,2.880302
0.796875,14.334451
0.804688,25.872554
0.812500,29.474819
0.820312,27.998615
0.828125,26.762371
0.835938,21.653674
0.843750,13.276735
0.851562,5.363666
0.859375,-2.232999
0.867188,-7.407651
0.875000,-11.506453
0.882812,-9.086189
0.890625,-0.912779
0.898438,7.575292
0.906250,17.023694
0.914062,18.680193
0.921875,17.901937
0.929688,15.076756
0.937500,11.016879
0.945312,5.691173
0.953125,-0.805340
0.960938,-8.960481
0.968750,-13.035547
0.976562,-18.456532
0.984375,-12.611684
0.992188,-1.009510
1.000000,11.749900
1.007812,19.110402
1.015625,24.516422
1.023438,25.277540
1.031250,19.496335
1.039062,14.922530
1.046875,9.497026
1.054688,4.125100
1.062500,-9.076205
1.070312,-17.066865
1.078125,-19.515944
1.085938,-14.466179
1.093750,-4.024438
