time_s,eeg_uv
0.000000,-9.7867
0.005000,2.3856
0.010000,-16.0779
0.015000,-10.9588
0.020000,3.4228
0.025000,-12.5730
0.030000,-18.4078
0.035000,5.7825
0.040000,5.3079
0.045000,-1.5120
0.050000,6.5076
0.055000,24.6643
0.060000,21.4011
0.065000,12.8445
0.070000,30.0463
0.075000,18.4971
0.080000,17.2257
0.085000,33.2454
0.090000,17.2474
0.095000,0.4277
0.100000,8.0936
0.105000,7.4968
0.110000,3.1044
0.115000,8.3673
0.120000,26.0166
0.125000,1.8856
0.130000,10.2079
0.135000,35.6836
0.140000,32.9553
0.145000,29.1487
0.150000,45.0340
0.155000,51.3271
0.160000,31.6298
0.165000,34.8855
0.170000,47.1539
0.175000,31.3785
0.180000,25.9258
0.185000,37.0805
0.190000,14.9609
0.195000,10.3731
0.200000,18.4808
0.205000,32.0164
0.210000,9.8172
0.215000,8.6365
0.220000,31.4582
0.225000,2.6958
0.230000,12.0219
0.235000,26.6211
0.240000,21.5529
0.245000,14.9298
0.250000,24.6947
0.255000,30.3316
0.260000,15.9394
0.265000,18.3926
0.270000,30.4408
0.275000,6.3154
0.280000,5.5980
0.285000,9.3892
0.290000,6.9896
0.295000,-10.5627
0.300000,-2.0511
0.305000,-9.3447
0.310000,-15.5886
0.315000,-25.1983
0.320000,-14.3457
0.325000,-16.6069
0.330000,-23.6819
0.335000,-3.3283
0.340000,-4.9948
0.345000,-11.7183
0.350000,-0.0799
0.355000,-0.7945
0.360000,-14.0040
0.365000,-16.3699
0.370000,5.2062
0.375000,-21.1516
0.380000,-20.4228
0.385000,-18.4847
0.390000,-26.3165
0.395000,-30.7798
0.400000,-28.4751
0.405000,-31.4474
0.410000,-43.9159
0.415000,-45.2466
0.420000,-26.2105
0.425000,-32.2794
0.430000,-31.3187
0.435000,-20.3419
0.440000,-24.1835
0.445000,-25.2809
0.450000,-15.6814
0.455000,-10.8653
0.460000,-18.3774
0.465000,-18.5520
0.470000,-9.2330
0.475000,-31.5258
0.480000,-35.6618
0.485000,-23.6594
