time_s,Fp1,Cz,O1
0.000000,10.4135,38.2300,10.8924
0.007812,9.0611,37.9839,7.9550
0.015625,-0.8761,36.0476,4.5600
0.023438,-7.2251,32.8223,-1.2673
0.031250,-8.8967,30.7763,-12.2413
0.039062,-8.9907,25.8061,-23.0045
0.046875,2.0159,20.6364,-23.3037
0.054688,14.8327,18.5032,-14.4801
0.062500,16.6118,16.8768,-5.8769
0.070312,18.7231,18.0805,1.5927
0.078125,23.9835,19.6935,11.7736
0.085938,24.7206,13.6925,23.7783
0.093750,22.3772,6.0417,28.5185
0.101562,15.0320,4.5981,19.0814
0.109375,7.2299,4.0818,7.2645
0.117188,7.4426,1.7429,2.0670
0.125000,4.6157,0.0860,-7.7977
0.132812,-2.6821,-0.5502,-21.9159
0.140625,-0.2911,0.6504,-27.4318
0.148438,4.4371,0.6138,-26.3278
0.156250,4.7313,-3.6801,-22.2912
0.164062,10.2679,-6.1491,-15.7798
0.171875,16.2667,-4.2785,-9.3290
0.179688,16.1066,-3.0889,4.9558
0.187500,14.7777,-3.4132,23.2494
0.195312,9.4566,-4.6538,23.8608
0.203125,0.6670,-6.2661,11.4940
0.210938,-3.8245,-6.2120,3.7040
0.218750,-5.9961,-6.9789,-4.3581
0.226562,-5.9931,-8.2630,-14.7276
0.234375,-2.2069,-5.7206,-19.9672
0.242188,-1.6257,-4.4993,-19.2544
0.250000,-1.7878,-7.3474,-11.5226
0.257812,4.6888,-5.9017,-1.6358
0.265625,11.5477,-1.0542,4.9364
0.273438,14.3766,0.6233,15.2695
0.281250,16.6285,2.7510,22.7078
0.289062,18.2047,6.8146,14.4680
0.296875,16.5925,8.7031,4.8898
0.304688,6.9680,10.1835,2.5670
0.312500,-8.6280,14.3350,-4.9200
0.320312,-15.3961,20.6526,-14.1382
0.328125,-11.2409,27.4984,-18.4220
0.335938,-7.0529,32.0808,-24.5696
0.343750,-0.6528,34.4554,-25.8556
0.351562,8.2363,38.3930,-12.7418
0.359375,10.1902,45.1255,2.4792
0.367188,12.0701,52.2880,8.7167
0.375000,20.3870,56.9644,11.7406
0.382812,20.7451,58.7706,16.6420
0.390625,12.6157,60.0775,17.9751
0.398438,12.1816,61.9798,9.2566
0.406250,14.2636,65.1301,-5.9280
0.414062,7.9980,70.6747,-19.2845
0.421875,3.1788,76.2813,-27.3447
0.429688,4.8197,79.6366,-28.3575
0.437500,6.4415,82.4513,-23.9738
0.445312,11.1934,86.0660,-18.7280
0.453125,19.8003,89.9757,-7.8125
0.460938,24.9354,92.7413,9.9443
0.468750,29.6483,93.8329,17.6114
0.476562,34.0279,96.1168,10.8720
0.484375,29.9284,100.0275,6.6415
0.492188,25.9031,103.1251,4.7309
0.500000,26.8756,107.1732,-6.6181
0.507812,17.7264,111.6058,-19.4036
0.515625,5.2690,112.5778,-25.0482
0.523438,6.4934,113.4078,-28.9892
0.531250,6.7224,115.1841,-29.1281
0.539062,0.7339,111.7226,-20.5167
0.546875,6.6745,105.7874,-10.3139
0.554688,15.6351,104.1497,-3.0196
0.562500,14.8592,103.6718,5.0288
0.570312,17.6969,101.2969,11.6087
0.578125,21.6655,98.9276,9.8949
0.585938,15.2470,96.1112,0.4844
0.593750,8.6334,92.7575,-10.8205
0.601562,3.6155,91.4243,-23.2875
0.609375,-6.7459,92.4384,-34.8372
0.617188,-12.5583,92.0398,-36.0245
0.625000,-10.1602,86.7375,-27.8778
0.632812,-7.7837,79.9177,-19.5192
0.640625,-4.5951,77.1359,-7.5028
0.648438,1.1014,75.7945,6.4039
0.656250,8.5363,71.3628,9.7735
0.664062,18.7137,66.0823,9.2346
0.671875,26.3353,62.5165,13.3451
0.679688,28.0528,59.2822,11.2441
0.687500,26.5893,54.8111,1.2145
