# hrvkit 예제 데이터 — **합성(synthetic)** 입니다. 실제 피험자 기록이 아닙니다.
# 목적: --window(구간별 추이) 시연. 20분 세션에서 느린 호흡 개입이
#       서서히 붙어 RMSSD/SD1 이 시간에 따라 증가하도록 만든 시계열.
#       이상박동 4개(놓친/여분 박동)를 의도적으로 섞었습니다.
time_s,rr_ms
0.000,839.6
0.840,848.4
1.688,837.2
2.525,818.9
3.344,817.4
4.162,816.6
4.978,826.4
5.805,810.7
6.615,786.1
7.401,805.2
8.207,816.3
9.023,833.6
9.856,826.5
10.683,830.0
11.513,834.4
12.347,837.9
13.185,839.7
14.025,820.7
14.846,800.5
15.646,784.3
16.430,813.7
17.244,822.2
18.066,812.9
18.879,802.1
19.681,810.8
20.492,839.7
21.332,843.8
22.176,826.4
23.002,823.9
23.826,819.8
24.646,824.1
25.470,830.4
26.300,809.3
27.109,773.4
27.883,817.9
28.701,843.2
29.544,838.1
30.382,822.2
31.204,818.4
32.023,839.4
32.862,844.2
33.706,829.8
34.536,809.5
35.345,795.0
36.140,811.1
36.952,821.5
37.773,815.8
38.589,810.9
39.400,819.8
40.220,838.3
41.058,845.2
41.903,835.9
42.739,829.5
43.569,813.0
44.381,825.1
45.207,821.1
46.028,791.9
46.820,790.9
47.610,797.4
48.408,818.5
49.226,845.9
50.072,822.3
50.895,824.7
51.719,828.0
52.547,840.3
53.388,851.1
54.239,813.6
55.052,798.4
55.851,814.1
56.665,825.8
57.491,813.7
58.304,815.8
59.120,814.1
59.934,823.3
60.758,856.3
61.614,832.9
62.447,821.5
63.268,809.9
64.078,820.2
64.898,823.0
65.721,826.8
66.548,786.3
67.334,786.5
68.121,811.9
68.933,832.7
69.765,838.0
70.603,813.8
71.417,821.0
72.238,837.8
73.076,837.4
73.913,819.4
74.733,796.1
75.529,795.7
76.325,827.4
77.152,821.0
77.973,813.3
78.786,817.4
79.604,804.0
80.408,847.1
81.255,849.0
82.104,822.2
82.926,806.6
