time_s,rr_ms
0.0,999.1
0.999,947.8
1.947,892.3
2.839,889.6
3.729,922.9
4.652,964.4
5.616,958.0
6.574,911.6
7.486,875.5
8.361,881.7
9.243,932.4
10.175,984.9
11.16,993.4
12.154,944.8
13.098,890.2
13.989,875.5
14.864,904.0
15.768,970.8
16.739,974.5
17.713,922.6
18.636,882.6
19.519,898.0
20.417,951.1
21.368,1000.6
22.368,990.6
23.359,923.1
24.282,869.0
25.151,874.2
26.025,918.9
26.944,979.1
27.923,979.8
28.903,935.7
29.839,903.4
30.742,923.1
31.665,960.3
32.626,1005.6
33.631,975.3
34.606,913.2
35.52,873.2
36.393,901.9
37.295,947.2
38.242,993.9
39.236,985.0
40.221,938.4
41.159,917.6
42.077,922.5
42.999,972.7
43.972,1017.2
44.989,968.8
45.958,908.4
46.866,883.3
47.75,914.3
48.664,979.5
49.644,1017.6
50.661,982.0
51.643,920.2
52.563,895.9
53.459,928.3
54.388,975.2
55.363,998.1
56.361,939.2
57.3,893.0
58.193,883.2
59.076,943.6
60.02,1007.7
61.028,1013.0
62.041,962.0
63.003,902.4
63.905,890.5
64.795,920.8
65.716,984.9
66.701,976.9
67.678,931.6
68.61,900.1
69.51,902.8
70.412,953.5
71.366,999.6
72.366,994.4
73.36,930.7
74.291,878.7
75.169,878.9
76.048,920.5
76.969,971.1
77.94,978.2
78.918,929.0
79.847,890.8
80.738,897.3
81.635,954.6
82.59,998.6
83.588,961.9
84.55,908.3
85.459,857.5
86.316,866.2
87.182,925.5
88.108,986.1
89.094,966.3
90.06,931.7
90.992,894.5
91.886,900.4
92.787,948.0
93.735,969.6
94.704,958.0
95.662,898.2
96.561,861.6
97.422,871.7
98.294,936.1
99.23,974.0
100.204,980.8
101.185,931.6
102.116,884.2
103.001,888.9
103.89,931.0
104.821,985.1
105.806,963.0
106.769,908.8
107.677,863.1
108.541,896.7
109.437,948.3
110.386,1002.3
111.388,995.5
112.383,1250.0
113.633,886.9
114.52,900.8
115.421,944.9
116.366,983.6
117.35,971.3
118.321,918.6
119.239,895.4
120.135,924.9
121.06,984.4
122.044,1015.9
123.06,984.1
124.044,921.8
124.966,878.2
125.844,910.4
126.755,965.9
127.72,992.4
128.713,976.8
129.69,933.1
130.623,920.2
131.543,955.5
132.498,1000.1
133.499,1005.3
134.504,953.4
135.457,898.3
136.356,887.9
137.243,926.9
138.17,998.0
139.168,1005.4
140.174,964.6
141.138,924.6
142.063,914.8
142.978,962.5
143.94,1002.3
144.942,987.9
145.93,921.3
146.852,891.0
147.743,891.8
148.634,948.8
149.583,998.6
150.582,995.2
151.577,943.9
152.521,900.3
153.421,900.3
154.322,951.1
155.273,974.9
156.248,959.0
157.207,913.4
158.12,887.2
159.007,901.1
159.908,966.1
160.874,993.6
161.868,980.0
162.848,911.5
163.759,872.2
164.632,890.8
165.522,938.8
166.461,969.4
167.431,948.2
168.379,905.0
169.284,873.7
170.158,893.0
171.051,949.8
172.0,1001.9
173.002,981.3
173.984,897.7
174.881,860.3
175.742,883.8
176.625,932.9
177.558,975.2
178.534,959.6
179.493,918.3
180.411,896.8
181.308,906.7
182.215,956.3
183.171,992.3
184.163,955.6
185.119,888.2
186.007,854.0
186.861,874.2
187.736,944.8
188.68,977.1
189.657,969.8
190.627,924.0
191.551,898.1
192.449,913.3
193.363,971.0
194.334,973.0
195.307,947.6
196.254,897.8
197.152,881.3
198.033,902.3
198.936,970.2
199.906,1011.3
200.917,990.3
201.907,935.6
202.843,902.0
203.745,924.0
204.669,981.0
205.65,972.2
206.622,944.0
207.566,893.5
208.46,889.8
209.349,937.2
210.287,1016.4
211.303,1020.6
212.324,965.1
213.289,904.6
214.193,904.2
215.098,932.2
216.03,988.8
217.019,977.7
217.996,943.3
218.94,908.5
219.848,913.6
220.762,972.1
221.734,1012.2
222.746,1000.6
223.747,934.4
224.681,890.0
225.571,899.7
226.471,940.8
227.411,980.8
228.392,984.1
229.376,939.5
230.316,901.6
231.217,931.6
232.149,973.3
233.122,998.1
234.12,968.7
235.089,910.1
235.999,871.7
236.871,894.5
237.765,952.3
238.718,994.1
239.712,971.4
240.683,913.3
241.597,898.9
242.495,914.7
243.41,963.7
244.374,976.1
245.35,943.1
246.293,885.3
247.178,860.8
248.039,891.5
248.931,955.2
249.886,993.7
250.88,980.6
251.86,904.2
252.764,883.7
253.648,905.7
254.554,936.4
255.49,961.6
256.452,939.2
257.391,877.0
258.268,867.4
259.135,899.7
260.035,957.3
260.992,992.2
261.985,967.0
262.952,913.9
263.865,870.2
264.736,903.9
265.64,932.0
266.572,968.9
267.541,952.2
268.493,907.9
269.401,878.6
270.279,919.6
271.199,978.5
272.177,1000.2
273.178,962.4
274.14,896.7
275.037,872.9
275.91,892.9
276.802,942.9
277.745,986.2
278.732,957.4
279.689,911.6
280.601,892.5
