timestamp,value
0.0,0.0993
0.1,0.1470
0.2,0.2504
0.3,0.4751
0.4,0.5844
0.5,0.6675
0.6,0.8912
0.7,0.8306
0.8,0.9974
0.9,0.9468
1.0,1.0829
1.1,1.1295
1.2,1.0461
1.3,0.9407
1.4,1.1478
1.5,0.9372
1.6,0.7949
1.7,0.7898
1.8,0.5899
1.9,0.5833
2.0,0.5641
2.1,0.3222
2.2,0.3170
2.3,0.2842
2.4,0.2296
2.5,0.0272
2.6,-0.2503
2.7,-0.2217
2.8,-0.4865
2.9,-0.5095
3.0,-0.5607
3.1,-0.6788
3.2,-0.7979
3.3,-1.0061
3.4,-0.8308
3.5,-1.0835
3.6,-0.9431
3.7,-0.8990
3.8,-1.1507
3.9,-1.0523
4.0,-1.1558
4.1,-1.0288
4.2,-0.9567
4.3,-0.8352
4.4,-0.7465
4.5,-0.5703
4.6,-0.5917
4.7,-0.4894
4.8,-0.1873
4.9,0.0065
5.0,0.1960
5.1,0.2142
5.2,0.5191
5.3,0.4956
5.4,0.7007
5.5,0.8949
5.6,0.8768
5.7,1.1856
5.8,0.9205
5.9,0.9825
6.0,1.0688
6.1,1.1149
6.2,1.0419
6.3,1.0006
6.4,0.9842
6.5,0.8656
6.6,0.8546
6.7,0.6025
6.8,0.5340
6.9,0.6559
7.0,0.4908
7.1,0.3133
7.2,0.1805
7.3,0.3047
7.4,-0.0441
7.5,-0.1192
7.6,-0.2742
7.7,-0.3113
7.8,-0.3927
7.9,-0.4976
8.0,-0.6466
8.1,-0.6213
8.2,-0.7701
8.3,-0.8189
8.4,-1.0813
8.5,-1.0180
8.6,-1.1764
8.7,-1.0601
8.8,-1.2206
8.9,-0.9597
9.0,-1.1345
9.1,-0.9409
9.2,-0.8331
9.3,-0.8567
9.4,-0.6272
9.5,-0.5188
9.6,-0.4542
9.7,-0.1768
9.8,-0.0922
9.9,0.1172
10.0,0.3518
10.1,0.5305
10.2,0.5651
10.3,0.6809
10.4,0.7965
10.5,0.9340
10.6,0.9616
10.7,0.9327
10.8,0.9304
10.9,0.9855
11.0,1.0432
11.1,1.1032
