characteristic,level,overall_N=48,device_n=24,sham_n=24,p_value,test,n_missing,smd
age,평균(SD),53.6 (9.6),55.7 (8.2),51.4 (10.5),0.116,Student t,0,0.463
sex,n(%),,,,0.106,Pearson χ²,1,0.486
sex,F,22 (46.8),8 (34.8),14 (58.3),,,,
sex,M,25 (53.2),15 (65.2),10 (41.7),,,,
bmi,중앙값[IQR],"26.1 [24.4, 27.7]","26.2 [25.6, 27.5]","25.6 [23.8, 28.0]",0.431,Mann-Whitney U,1,0.242
isi,평균(SD),18.7 (3.2),19.0 (2.8),18.3 (3.5),0.431,Student t,0,0.229
rmssd_ms,평균(SD),26.4 (8.9),25.0 (8.3),27.8 (9.5),0.302,Student t,4,0.315
ahi,평균(SD),6.5 (2.7),6.3 (3.1),6.7 (2.3),0.628,Student t,0,0.141
site,n(%),,,,0.776,Pearson χ²,0,0.207
site,A,16 (33.3),8 (33.3),8 (33.3),,,,
site,B,18 (37.5),10 (41.7),8 (33.3),,,,
site,C,14 (29.2),6 (25.0),8 (33.3),,,,
chronic,n(%),,,,0.731,Pearson χ²,0,0.099
chronic,0,11 (22.9),5 (20.8),6 (25.0),,,,
chronic,1,37 (77.1),19 (79.2),18 (75.0),,,,
